timestamp,open,high,low,close,volume
2025-06-26 05:25:00,543.42,543.49,543.42,543.44,4399
2025-06-26 05:30:00,543.4,543.4,543.18,543.38,7412
2025-06-26 05:35:00,543.4,543.44,543.34,543.42,3300
2025-06-26 05:40:00,543.31,543.31,543.22,543.28,1400
2025-06-26 05:45:00,543.27,543.38,543.27,543.36,2750
2025-06-26 05:50:00,543.37,543.42,543.37,543.41,1200
2025-06-26 05:55:00,543.42,543.42,543.34,543.34,3910
2025-06-26 06:00:00,543.4,543.41,543.18,543.22,4181
2025-06-26 06:05:00,543.31,543.55,543.31,543.53,3470
2025-06-26 06:10:00,543.5,543.63,543.49,543.62,1700
2025-06-26 06:15:00,543.68,543.8,543.63,543.8,2168
2025-06-26 06:20:00,543.9,544.02,543.87,543.91,6926
2025-06-26 06:25:00,544.0,544.0,543.86,543.86,789
2025-06-26 06:30:00,543.86,543.93,543.83,543.86,3583
2025-06-26 06:35:00,543.82,543.85,543.75,543.78,2910
2025-06-26 06:40:00,543.77,543.8,543.66,543.66,2550
2025-06-26 06:45:00,543.66,543.76,543.57,543.76,2148
2025-06-26 06:50:00,543.7,543.84,543.56,543.6,2900
2025-06-26 06:55:00,543.57,543.57,543.43,543.46,3933
2025-06-26 07:00:00,543.45,543.53,543.41,543.42,9757
2025-06-26 07:05:00,543.49,543.75,543.48,543.75,8517
2025-06-26 07:10:00,543.74,543.84,543.67,543.77,2615
2025-06-26 07:15:00,543.69,543.8,543.61,543.8,5961
2025-06-26 07:20:00,543.76,543.82,543.63,543.63,42475
2025-06-26 07:25:00,543.61,543.61,543.53,543.6,28850
2025-06-26 07:30:00,543.62,543.7,543.59,543.66,28711
2025-06-26 07:35:00,543.68,543.77,543.54,543.56,23508
2025-06-26 07:40:00,543.51,543.51,543.45,543.475,25863
2025-06-26 07:45:00,543.44,543.6,543.42,543.54,34719
2025-06-26 07:50:00,543.59,543.84,543.57,543.78,54977
2025-06-26 07:55:00,543.79,543.89,543.78,543.88,29745
2025-06-26 08:00:00,543.49,543.97,540.755,543.95,67350
2025-06-26 08:05:00,543.97,544.05,543.79,543.79,26481
2025-06-26 08:10:00,543.78,543.95,543.78,543.81,17512
2025-06-26 08:15:00,543.781,543.86,543.7417,543.85,12932
2025-06-26 08:20:00,543.85,543.85,543.69,543.77,8039
2025-06-26 08:25:00,543.81,543.92,543.78,543.82,9206
2025-06-26 08:30:00,543.8135,544.0,542.65,542.96,70300
2025-06-26 08:35:00,542.93,543.21,542.93,543.2,22312
2025-06-26 08:40:00,543.25,543.4,543.09,543.4,14636
2025-06-26 08:45:00,543.5,543.65,543.29,543.4,16386
2025-06-26 08:50:00,543.29,543.41,543.01,543.22,19075
2025-06-26 08:55:00,543.3,543.35,543.17,543.35,12147
2025-06-26 09:00:00,543.39,543.42,542.87,542.87,21983
2025-06-26 09:05:00,542.91,543.09,542.84,543.01,56616
2025-06-26 09:10:00,542.95,543.03,542.85,542.96,34188
2025-06-26 09:15:00,542.99,543.34,542.81,543.12,25046
2025-06-26 09:20:00,543.31,543.43,543.26,543.28,26541
2025-06-26 09:25:00,543.31,543.6,543.21,543.36,53469
2025-06-26 09:30:00,543.35,543.7,542.5,542.95,1054315
2025-06-26 09:35:00,542.95,543.205,542.06,542.4798,614480
2025-06-26 09:40:00,542.46,542.84,541.98,542.67,462880
2025-06-26 09:45:00,542.71,542.91,541.83,542.03,619905
2025-06-26 09:50:00,542.04,542.47,541.52,542.32,712473
2025-06-26 09:55:00,542.31,543.195,542.2602,543.13,474269
2025-06-26 10:00:00,543.14,543.72,543.14,543.61,519175
2025-06-26 10:05:00,543.61,543.8,543.0,543.21,542033
2025-06-26 10:10:00,543.21,543.66,543.19,543.33,285917
2025-06-26 10:15:00,543.34,543.6751,543.17,543.4,257694
2025-06-26 10:20:00,543.4,543.865,543.36,543.78,304626
2025-06-26 10:25:00,543.78,543.85,543.62,543.76,306245
2025-06-26 10:30:00,543.755,544.39,543.68,544.01,592918
2025-06-26 10:35:00,544.0,544.035,543.77,543.91,264595
2025-06-26 10:40:00,543.92,543.94,543.555,543.555,327471
2025-06-26 10:45:00,543.57,543.99,543.45,543.95,312840
2025-06-26 10:50:00,543.92,543.96,543.74,543.915,129085
2025-06-26 10:55:00,543.925,543.925,543.68,543.762,142223
2025-06-26 11:00:00,543.76,544.105,543.71,544.0702,211605
2025-06-26 11:05:00,544.065,544.16,543.91,544.13,209463
2025-06-26 11:10:00,544.13,544.37,544.01,544.18,249486
2025-06-26 11:15:00,544.175,544.64,544.17,544.51,275989
2025-06-26 11:20:00,544.51,544.75,544.47,544.58,267927
2025-06-26 11:25:00,544.575,544.58,543.61,543.645,347631
2025-06-26 11:30:00,543.65,544.04,543.3125,544.0299,522340
2025-06-26 11:35:00,544.01,544.43,543.995,544.41,298073
2025-06-26 11:40:00,544.405,544.58,544.29,544.34,182570
2025-06-26 11:45:00,544.34,544.7,544.33,544.411,211287
2025-06-26 11:50:00,544.41,544.88,544.27,544.76,309035
2025-06-26 11:55:00,544.7651,544.81,544.52,544.7096,176250
2025-06-26 12:00:00,544.71,545.23,544.63,545.155,376273
2025-06-26 12:05:00,545.15,545.17,544.93,544.9615,149326
2025-06-26 12:10:00,544.965,545.07,544.86,544.94,136194
2025-06-26 12:15:00,544.96,545.0299,544.84,544.98,119373
2025-06-26 12:20:00,544.98,545.16,544.95,544.95,131782
2025-06-26 12:25:00,544.96,545.03,544.76,544.815,133053
2025-06-26 12:30:00,544.82,545.04,544.725,544.8673,154562
2025-06-26 12:35:00,544.87,544.91,544.49,544.57,192913
2025-06-26 12:40:00,544.58,544.7,544.5,544.515,141666
2025-06-26 12:45:00,544.52,544.68,544.41,544.555,179939
2025-06-26 12:50:00,544.55,544.76,544.5,544.55,101268
2025-06-26 12:55:00,544.55,544.65,544.46,544.65,76647
2025-06-26 13:00:00,544.64,544.94,544.4255,544.91,184254
2025-06-26 13:05:00,544.9,545.02,544.82,544.97,96766
2025-06-26 13:10:00,544.97,545.18,544.97,545.06,154806
2025-06-26 13:15:00,545.07,545.3,544.98,545.1093,270711
2025-06-26 13:20:00,545.08,545.32,545.07,545.2,157215
2025-06-26 13:25:00,545.19,545.4,545.19,545.31,136525
